age,gender,height_m,weight_kg,bmi,BMIPCT,seatbelt,seatbelt2,ride_drunkdriver,drive_drunk,drive_text,carried_weapon,unsafe_school,bullied,sad,days_smoke,days_drink
17,female,1.5,51.71,23,70.23,sometimes,otherwise,yes,0 times,0 days,no,no,no,yes,0,0
17,male,1.78,88.45,27.9,93.82,always,otherwise,no,not drive,not drive,yes,yes,yes,yes,0,0
17,male,1.78,65.77,20.8,38.53,most of the time,otherwise,no,0 times,0 days,no,no,no,no,0,0
16,male,1.88,98.43,27.8,94.95,most of the time,otherwise,yes,0 times,0 days,no,no,no,no,0,7
17,male,1.75,63.05,20.6,35.99,always,otherwise,no,0 times,all 30 days,no,no,no,no,0,0
17,male,1.83,83.92,25.1,83.87,always,otherwise,no,0 times,6 to 9 days,no,no,no,no,0,3
16,female,1.63,57.15,21.5,60.15,always,otherwise,no,0 times,0 days,no,no,no,no,0,0
16,female,1.55,53.52,22.3,67.93,sometimes,otherwise,no,not drive,not drive,no,no,no,no,0,0
15,female,1.68,61.69,21.9,68.85,always,otherwise,no,not drive,not drive,no,no,no,yes,0,0
16,female,1.6,70.31,27.5,92.37,always,otherwise,yes,0 times,1 or 2 days,no,no,no,no,0,0
16,female,1.52,67.13,29.1,94.78,always,otherwise,no,0 times,1 or 2 days,no,no,no,no,0,0
15,male,1.8,68.95,21.3,64.55,most of the time,otherwise,yes,0 times,0 days,yes,no,no,yes,9,9
16,male,1.7,72.58,25.1,87.63,always,otherwise,no,0 times,0 days,no,no,no,yes,0,0
17,male,1.88,74.84,21.2,44.69,always,otherwise,yes,not drive,not drive,no,no,no,no,0,0
17,male,1.55,88.91,37,99.45,most of the time,otherwise,yes,0 times,0 days,no,no,no,yes,0,2
16,male,1.83,83.01,24.8,86.17,most of the time,otherwise,no,0 times,0 days,no,no,no,no,0,0
17,male,1.9,136.99,37.9,99.54,most of the time,otherwise,no,0 times,0 days,no,no,no,no,0,0
15,male,1.73,72.58,24.3,87.13,most of the time,otherwise,no,0 times,0 days,no,no,no,no,0,0
15,female,1.8,88.45,27.3,93.3,sometimes,otherwise,no,not drive,not drive,no,no,no,yes,0,3
16,female,1.73,68.95,23,74.26,most of the time,otherwise,no,0 times,0 days,no,no,no,no,0,0
15,female,1.65,82.56,30.3,96.68,most of the time,otherwise,no,0 times,0 days,no,no,no,yes,0,1
15,female,1.68,81.65,28.9,95.48,most of the time,otherwise,yes,0 times,0 days,no,no,no,no,0,0
14,female,1.45,43.55,20.7,63.28,most of the time,otherwise,yes,0 times,1 or 2 days,no,no,yes,yes,5,4
16,female,1.55,48.08,20,41.07,most of the time,otherwise,no,0 times,0 days,no,no,no,no,0,0
15,female,1.57,48.99,19.9,45.92,rarely,otherwise,yes,0 times,1 or 2 days,yes,no,no,yes,0,5
14,female,1.57,58.97,23.9,86.06,sometimes,otherwise,no,not drive,not drive,no,yes,no,yes,0,0
15,female,1.6,56.7,22.1,71.41,always,otherwise,no,0 times,0 days,no,yes,yes,yes,2,3
15,female,1.68,52.16,18.5,26.02,most of the time,otherwise,no,0 times,0 days,no,no,no,no,0,0
15,male,1.68,63.05,22.3,75.17,sometimes,otherwise,yes,0 times,0 days,no,no,no,no,0,0
14,male,1.68,70.31,24.9,92.03,sometimes,otherwise,yes,not drive,not drive,no,no,no,no,0,0
15,male,1.73,74.84,25,90.02,always,otherwise,yes,0 times,0 days,yes,no,no,no,0,8
16,male,1.73,60.78,20.3,41.62,always,otherwise,no,not drive,not drive,no,no,no,no,0,0
14,male,1.63,54.43,20.5,63.81,sometimes,otherwise,no,0 times,0 days,no,yes,no,yes,0,0
15,male,1.68,63.5,22.5,76.49,always,otherwise,no,not drive,not drive,yes,no,no,no,0,0
15,female,1.63,64.41,24.2,84.58,sometimes,otherwise,no,0 times,0 days,no,no,no,no,0,0
14,female,1.68,66.23,23.5,84.02,most of the time,otherwise,no,not drive,not drive,no,yes,yes,yes,0,0
14,female,1.57,54.43,22.1,75.68,rarely,otherwise,no,not drive,not drive,no,no,no,yes,0,0
15,female,1.7,68.04,23.5,81.08,most of the time,otherwise,no,0 times,0 days,no,no,no,no,0,1
15,female,1.6,45.36,17.7,15.99,most of the time,otherwise,yes,not drive,not drive,yes,no,no,no,0,0
15,female,1.57,62.6,25.4,88.89,most of the time,otherwise,no,not drive,not drive,no,yes,yes,no,0,0
14,male,1.85,76.2,22.3,80.43,always,otherwise,no,not drive,not drive,yes,no,no,no,0,5
15,male,1.73,61.24,20.5,54.05,most of the time,otherwise,yes,not drive,not drive,yes,no,no,no,0,6
17,male,1.73,83.92,28,94.07,sometimes,otherwise,no,0 times,0 days,yes,no,no,yes,0,0
15,male,1.68,46.27,16.4,2.68,most of the time,otherwise,no,0 times,0 days,no,no,no,no,1,1
16,male,1.68,111.13,39.4,99.64,most of the time,otherwise,no,0 times,1 or 2 days,no,no,no,yes,0,0
15,male,1.98,106.6,27.2,95.02,never,never,yes,0 times,0 days,no,no,no,no,0,0
16,male,1.93,102.06,27.4,94.18,always,otherwise,no,not drive,not drive,no,no,no,no,0,0
15,male,1.65,61.24,22.5,76.45,most of the time,otherwise,no,not drive,not drive,no,no,yes,yes,0,1
16,male,1.65,56.7,20.8,49.31,most of the time,otherwise,no,not drive,not drive,no,no,no,no,0,0
16,male,1.73,67.13,22.4,69.18,always,otherwise,no,0 times,0 days,yes,no,no,yes,0,4
15,male,1.7,63.5,22,71.86,most of the time,otherwise,yes,0 times,0 days,no,no,no,no,0,3
15,male,1.73,61.24,20.5,54.05,always,otherwise,no,not drive,not drive,no,no,no,no,0,0
15,male,1.7,66.68,23.1,80.71,sometimes,otherwise,yes,not drive,not drive,yes,no,no,no,1,9
16,male,1.9,92.99,25.8,90.05,sometimes,otherwise,yes,4 or 5 times,all 30 days,yes,no,no,yes,0,11
15,female,1.73,72.58,24.3,84.61,most of the time,otherwise,yes,0 times,0 days,no,no,yes,yes,27,8
15,female,1.7,66.68,23.1,78.26,most of the time,otherwise,no,0 times,0 days,no,no,no,no,0,0
16,female,1.57,60.78,24.7,83.85,always,otherwise,no,not drive,not drive,no,no,no,no,0,0
16,female,1.68,50.8,18,13.85,rarely,otherwise,no,not drive,not drive,no,no,no,no,0,1
15,female,1.73,67.13,22.4,73.69,always,otherwise,no,not drive,not drive,no,no,no,no,0,0
15,female,1.6,51.71,20.2,50.28,always,otherwise,yes,not drive,not drive,no,no,yes,yes,0,0
15,female,1.6,47.63,18.6,27.78,always,otherwise,no,0 times,0 days,no,no,yes,yes,0,0
15,female,1.63,52.16,19.6,42.53,most of the time,otherwise,no,0 times,0 days,no,no,no,no,0,0
16,female,1.63,70.31,26.5,90.14,most of the time,otherwise,no,not drive,not drive,no,no,no,no,0,0
16,female,1.68,52.16,18.5,19.67,always,otherwise,no,0 times,1 or 2 days,no,no,no,no,0,0
16,female,1.65,65.77,24.2,81.38,most of the time,otherwise,no,0 times,3 to 5 days,no,no,no,no,0,0
16,female,1.65,70.31,25.8,88.31,always,otherwise,no,0 times,0 days,no,no,no,no,0,0
16,female,1.65,69.4,25.5,87.2,most of the time,otherwise,yes,0 times,0 days,no,no,no,no,0,0
16,female,1.6,59.88,23.4,76.76,always,otherwise,yes,0 times,0 days,no,no,yes,yes,0,0
16,male,1.75,79.38,25.9,90.57,always,otherwise,no,not drive,not drive,no,no,no,no,0,0
15,female,1.68,86.64,30.7,96.93,most of the time,otherwise,no,0 times,0 days,no,no,yes,no,0,0
16,female,1.55,57.15,23.8,79.28,always,otherwise,no,0 times,0 days,no,no,yes,yes,0,2
16,female,1.5,59.88,26.6,90.52,most of the time,otherwise,yes,not drive,not drive,no,no,no,yes,2,5
17,female,1.6,63.05,24.6,81.3,always,otherwise,no,0 times,0 days,no,no,no,no,0,0
16,female,1.6,50.8,19.8,38.69,most of the time,otherwise,no,0 times,0 days,no,no,no,no,0,0
17,female,1.65,89.81,33,97.2,always,otherwise,no,0 times,all 30 days,no,no,no,no,0,0
16,female,1.7,70.76,24.5,83.03,most of the time,otherwise,no,0 times,0 days,no,no,no,no,22,6
17,female,1.68,58.97,20.9,47.49,always,otherwise,no,not drive,not drive,no,no,no,yes,22,7
17,female,1.57,68.04,27.6,91.46,always,otherwise,no,not drive,not drive,no,no,no,yes,0,0
17,male,1.7,53.98,18.7,10.77,always,otherwise,no,0 times,0 days,yes,no,no,no,0,0
17,male,1.73,86.18,28.8,95.34,most of the time,otherwise,no,not drive,not drive,no,no,no,no,30,3
17,male,1.83,81.65,24.4,79.67,always,otherwise,no,not drive,not drive,no,no,yes,no,0,0
16,male,1.75,69.85,22.8,72.82,most of the time,otherwise,yes,0 times,20 to 29 days,yes,no,no,no,2,9
17,male,1.8,79.38,24.5,80.48,most of the time,otherwise,no,0 times,1 or 2 days,no,no,no,no,0,0
16,male,1.9,70.31,19.5,28.91,sometimes,otherwise,yes,0 times,all 30 days,yes,no,no,no,1,1
17,male,1.83,79.38,23.7,74.46,sometimes,otherwise,no,0 times,3 to 5 days,no,no,no,no,0,0
16,male,1.68,58.97,20.9,50.27,always,otherwise,no,0 times,0 days,yes,no,no,yes,0,8
16,male,1.78,68.04,21.5,58.17,most of the time,otherwise,no,not drive,not drive,no,no,no,no,0,0
16,female,1.55,46.72,19.4,33.01,always,otherwise,yes,not drive,not drive,no,no,yes,yes,2,29
16,female,1.75,73.94,24.1,81.3,most of the time,otherwise,no,0 times,20 to 29 days,no,no,yes,yes,0,2
15,female,1.8,68.04,21,60.09,always,otherwise,no,not drive,not drive,yes,no,yes,yes,0,0
16,female,1.65,58.97,21.7,61.79,most of the time,otherwise,no,0 times,1 or 2 days,no,no,no,no,0,0
16,female,1.57,63.05,25.6,87.5,always,otherwise,no,0 times,0 days,no,no,no,no,0,2
16,female,1.63,45.81,17.2,6.73,always,otherwise,yes,not drive,not drive,yes,no,no,yes,30,6
16,female,1.73,92.08,30.8,96.39,most of the time,otherwise,no,not drive,not drive,no,no,yes,yes,26,0
16,female,1.68,62.6,22.2,67.02,always,otherwise,no,0 times,0 days,no,no,no,no,0,0
15,female,1.52,46.27,20,47.99,most of the time,otherwise,no,0 times,0 days,no,no,no,no,0,0
15,female,1.7,50.35,17.4,12.61,always,otherwise,no,not drive,not drive,no,no,no,no,0,0
17,female,1.63,44.45,16.7,1.96,always,otherwise,no,0 times,0 days,no,no,no,no,0,0
17,female,1.7,58.97,20.4,40.85,always,otherwise,no,0 times,3 to 5 days,no,no,no,no,0,0
17,female,1.55,50.8,21.1,50.75,always,otherwise,yes,0 times,1 or 2 days,no,no,no,yes,30,12
17,male,1.7,92.99,32.2,98.26,most of the time,otherwise,no,0 times,0 days,no,no,no,no,0,0
17,male,1.8,74.84,23.1,68.83,always,otherwise,no,0 times,0 days,yes,no,no,yes,0,1
17,male,1.85,61.24,17.9,4.63,always,otherwise,no,not drive,not drive,no,no,no,no,0,0
15,male,1.55,65.77,27.4,95.29,sometimes,otherwise,no,0 times,0 days,no,no,no,no,0,0
15,male,1.75,61.69,20.1,49.47,always,otherwise,no,not drive,not drive,yes,no,yes,no,0,0
15,male,1.83,59.88,17.9,15.36,always,otherwise,no,not drive,not drive,no,no,no,no,0,0
15,male,1.78,49.9,15.7,0.8,always,otherwise,no,not drive,not drive,no,no,no,no,0,0
15,male,1.7,63.96,22.1,73.34,sometimes,otherwise,no,0 times,0 days,no,no,no,no,0,0
16,male,1.7,71.22,24.6,85.47,most of the time,otherwise,yes,0 times,1 or 2 days,yes,no,no,no,0,0
15,male,1.8,68.04,21,61.17,always,otherwise,no,not drive,not drive,no,no,no,no,0,0
16,male,1.65,64.86,23.8,80.76,always,otherwise,no,not drive,not drive,no,no,no,no,0,0
15,female,1.63,65.32,24.6,86.03,always,otherwise,no,0 times,0 days,no,no,yes,no,0,0
16,female,1.68,78.02,27.6,92.7,always,otherwise,no,0 times,0 days,no,no,no,yes,0,1
15,female,1.68,49.9,17.7,15.53,sometimes,otherwise,no,0 times,0 days,no,no,no,yes,0,0
14,female,1.7,57.61,19.9,54.08,most of the time,otherwise,no,not drive,not drive,no,no,yes,yes,0,6
16,female,1.65,77.11,28.3,93.81,most of the time,otherwise,no,0 times,0 days,no,no,no,no,0,0
16,female,1.55,53.52,22.3,67.93,rarely,otherwise,no,0 times,0 days,no,no,no,no,0,0
15,female,1.63,52.16,19.6,42.53,sometimes,otherwise,yes,not drive,not drive,no,no,no,no,0,0
15,female,1.6,52.62,20.6,54.82,rarely,otherwise,no,0 times,0 days,no,no,yes,no,0,1
14,female,1.55,54.43,22.7,79.58,always,otherwise,no,not drive,not drive,no,no,no,no,0,0
16,male,1.75,96.16,31.4,98.16,always,otherwise,no,0 times,0 days,no,no,no,no,0,0
15,female,1.65,62.14,22.8,76.6,always,otherwise,no,not drive,not drive,no,no,yes,no,0,0
17,female,1.65,57.15,21,48.78,most of the time,otherwise,no,not drive,not drive,no,no,no,no,0,0
14,female,1.6,51.71,20.2,57.38,always,otherwise,no,0 times,0 days,yes,no,no,yes,0,0
15,male,1.88,74.84,21.2,63.3,always,otherwise,no,not drive,not drive,no,no,no,no,0,0
14,male,1.75,74.84,24.4,90.69,always,otherwise,yes,0 times,0 days,no,no,no,no,0,0
15,male,1.63,50.8,19.1,33.59,always,otherwise,no,0 times,0 days,yes,no,no,no,0,0
15,male,1.65,57.61,21.2,63.14,always,otherwise,no,not drive,not drive,no,no,yes,no,0,0
14,male,1.75,58.97,19.3,46.58,most of the time,otherwise,no,not drive,not drive,yes,no,no,no,0,0
15,male,1.75,65.77,21.5,66.76,always,otherwise,no,0 times,0 days,no,no,no,no,0,0
16,male,1.68,65.77,23.3,77.01,always,otherwise,no,0 times,0 days,yes,no,no,no,0,0
16,female,1.73,61.24,20.5,47.25,sometimes,otherwise,no,not drive,not drive,no,no,yes,yes,8,3
15,female,1.63,57.61,21.7,67.22,most of the time,otherwise,no,not drive,not drive,no,no,no,yes,0,0
16,female,1.63,58.97,22.2,67.17,always,otherwise,no,0 times,20 to 29 days,no,no,no,no,0,0
16,female,1.63,47.63,17.9,13.06,always,otherwise,yes,not drive,not drive,no,no,no,no,0,0
16,female,1.52,45.36,19.6,35.68,most of the time,otherwise,no,0 times,0 days,no,no,no,yes,0,0
16,female,1.57,46.72,19,26.03,always,otherwise,no,0 times,0 days,no,no,no,yes,0,0
17,female,1.65,41.73,15.3,0.08,always,otherwise,no,not drive,not drive,no,no,yes,yes,0,0
15,female,1.57,56.7,23,77.8,sometimes,otherwise,no,0 times,1 or 2 days,no,no,yes,no,0,1
16,female,1.68,65.77,23.3,76.16,rarely,otherwise,yes,1 time,20 to 29 days,yes,no,yes,no,1,3
16,female,1.68,74.84,26.5,90.28,always,otherwise,no,0 times,0 days,no,no,no,yes,0,0
16,female,1.55,45.36,18.9,25.01,most of the time,otherwise,yes,0 times,0 days,no,no,no,yes,0,2
16,female,1.52,74.84,32.4,97.36,always,otherwise,yes,not drive,not drive,yes,no,no,no,0,1
16,male,1.75,81.65,26.7,92.62,sometimes,otherwise,yes,0 times,3 to 5 days,yes,no,yes,no,2,9
16,male,1.75,65.77,21.5,58.19,always,otherwise,no,0 times,all 30 days,no,no,no,no,0,3
16,male,1.73,95.26,31.8,98.35,most of the time,otherwise,no,0 times,0 days,no,no,no,no,2,4
15,male,1.8,72.58,22.4,75.69,most of the time,otherwise,no,0 times,1 or 2 days,no,no,no,no,0,0
16,male,1.73,65.77,22,64.26,sometimes,otherwise,no,0 times,3 to 5 days,no,no,no,no,0,1
15,male,1.88,106.6,30.2,97.82,most of the time,otherwise,yes,0 times,0 days,yes,yes,no,no,1,3
15,male,1.78,97.52,30.8,98.13,rarely,otherwise,yes,1 time,3 to 5 days,yes,no,no,no,3,7
16,male,1.73,64.41,21.5,58.76,always,otherwise,no,0 times,10 to 19 days,no,no,no,yes,0,1
16,male,1.68,56.7,20.1,38.28,always,otherwise,no,not drive,not drive,no,no,no,no,0,0
15,male,1.7,71.22,24.6,88.73,most of the time,otherwise,yes,1 time,1 or 2 days,yes,no,no,yes,30,2
16,male,1.78,74.39,23.5,78.35,most of the time,otherwise,no,0 times,all 30 days,no,no,no,no,0,5
16,male,1.73,81.65,27.3,93.96,always,otherwise,no,0 times,0 days,no,no,no,no,0,0
16,male,1.9,65.32,18.1,10.8,always,otherwise,no,not drive,not drive,yes,no,yes,yes,0,0
16,male,1.75,61.24,20,36.86,rarely,otherwise,no,0 times,0 days,no,no,no,no,0,1
16,male,1.65,68.95,25.3,88.49,sometimes,otherwise,no,not drive,not drive,no,no,no,no,0,0
15,male,1.7,57.15,19.8,43.9,always,otherwise,no,not drive,not drive,yes,no,no,no,0,0
16,male,1.9,77.11,21.4,56.68,always,otherwise,no,0 times,0 days,no,no,no,no,0,0
17,male,1.75,53.07,17.3,2.08,always,otherwise,no,0 times,0 days,no,no,yes,no,0,7
15,male,1.78,77.57,24.5,88.1,always,otherwise,no,not drive,not drive,no,no,no,no,17,0
16,male,1.65,54.43,20,36.8,always,otherwise,no,0 times,0 days,no,no,yes,no,0,0
16,male,1.83,65.77,19.6,31.38,always,otherwise,yes,not drive,not drive,yes,no,yes,no,14,1
17,female,1.55,81.65,34,97.63,always,otherwise,no,0 times,1 or 2 days,no,no,no,yes,30,2
17,female,1.57,49.9,20.2,38.6,always,otherwise,no,0 times,0 days,no,no,no,no,0,0
17,female,1.68,86.18,30.5,95.57,always,otherwise,no,0 times,0 days,no,no,no,yes,0,3
17,female,1.57,112.04,45.5,99.33,always,otherwise,no,not drive,not drive,no,no,yes,yes,0,0
17,male,1.78,72.58,22.9,66.85,most of the time,otherwise,no,0 times,0 days,yes,no,no,no,0,0
17,male,1.83,95.26,28.4,94.79,always,otherwise,no,0 times,0 days,yes,yes,yes,no,0,0
17,male,1.7,68.04,23.5,73.06,most of the time,otherwise,no,0 times,20 to 29 days,yes,no,no,no,0,7
17,female,1.55,64.41,26.8,89.58,sometimes,otherwise,no,0 times,0 days,no,no,no,yes,0,0
16,female,1.55,46.72,19.4,33.01,most of the time,otherwise,no,0 times,0 days,no,no,yes,yes,0,0
17,female,1.7,68.04,23.5,74.61,most of the time,otherwise,no,0 times,0 days,no,no,no,no,0,0
17,female,1.6,54.43,21.3,52.22,always,otherwise,no,0 times,0 days,no,no,no,no,0,0
17,female,1.7,60.78,21,49.29,most of the time,otherwise,no,not drive,not drive,no,no,no,no,0,0
17,female,1.68,79.38,28.1,92.47,most of the time,otherwise,no,0 times,10 to 19 days,no,no,yes,yes,0,0
17,female,1.6,54.43,21.3,52.22,most of the time,otherwise,yes,0 times,0 days,no,no,no,yes,0,3
17,female,1.68,54.43,19.3,25.1,never,never,no,0 times,0 days,no,no,no,no,0,0
17,female,1.83,61.24,18.3,12.71,always,otherwise,no,0 times,0 days,no,no,no,no,0,0
17,female,1.57,45.36,18.4,13.97,most of the time,otherwise,no,0 times,6 to 9 days,no,no,no,yes,0,0
17,female,1.78,41.73,13.2,0,always,otherwise,no,not drive,not drive,yes,no,yes,no,0,0
17,female,1.65,65.77,24.2,78.66,always,otherwise,no,0 times,0 days,no,no,no,no,0,0
16,female,1.6,58.51,22.9,72.86,sometimes,otherwise,yes,not drive,not drive,no,no,no,yes,0,2
17,male,1.75,74.84,24.4,80.06,always,otherwise,no,0 times,20 to 29 days,yes,no,no,yes,0,1
17,male,1.78,105.69,33.4,98.72,sometimes,otherwise,yes,0 times,0 days,yes,no,yes,no,0,0
17,male,1.68,57.15,20.2,30.94,never,never,yes,6 or more times,0 days,yes,no,no,no,30,30
16,male,1.83,81.65,24.4,84.11,sometimes,otherwise,yes,0 times,0 days,yes,no,yes,no,0,0
17,male,1.8,72.58,22.4,61.13,always,otherwise,no,0 times,0 days,no,no,no,no,0,0
17,male,1.78,79.38,25.1,83.84,always,otherwise,no,0 times,0 days,yes,no,no,no,0,0
16,male,1.75,65.77,21.5,58.19,most of the time,otherwise,no,not drive,not drive,no,no,no,no,1,0
16,male,1.83,97.52,29.1,96.56,rarely,otherwise,yes,0 times,20 to 29 days,no,no,no,no,0,3
17,male,1.65,60.33,22.2,58.16,always,otherwise,no,not drive,not drive,no,no,no,no,0,0
17,male,1.83,69.85,20.9,40.02,sometimes,otherwise,no,1 time,1 or 2 days,yes,no,no,no,30,6
17,male,1.83,104.33,31.2,97.7,most of the time,otherwise,no,0 times,0 days,no,no,no,no,0,0
17,male,1.83,77.11,23,68.08,always,otherwise,no,0 times,6 to 9 days,yes,no,no,no,0,1
17,male,1.7,57.61,19.9,26.36,always,otherwise,no,0 times,0 days,yes,no,no,no,30,0
17,male,1.8,104.78,32.3,98.34,most of the time,otherwise,no,0 times,1 or 2 days,yes,no,no,no,0,2
16,male,1.85,73.48,21.5,58.11,always,otherwise,no,not drive,not drive,no,no,no,no,0,1
17,male,1.75,128.37,41.9,99.77,most of the time,otherwise,no,not drive,not drive,no,no,no,no,0,5
