ids,gender,currenrl,compgrad,currlive,parbrkup,FAITH1,prayansr,miracle,comitgod,attreg,churtype,ATTEND1,ATHEIST1,WORKHRS1,socnet,SOCNET4,god,drink,drunk,smoke,pot,fight,trauma,future,GUILT1,meanless,body,lifesat,helpless,sad,accepted,alienate,invisibl,health,earnings,debt,agecats,bmi,employst
2010,Female,"No, not in school",12th grade,Your parent's home,0,Not very,Yes,Yes,No,No,,,,0,Yes,About once a day,Yes,About once a week,Three or four times,Once a day or more,Never,Never,.,Sometimes,Fairly often,Never,Very happy,Agree,Strongly disagree,Rarely,A lot,A little,None,Very good,"$2,001 - $4,000","$1,401 - $1,600",20,17.5397644,No school or work but looking
2037,Male,"No, not in school",12th grade,Your parent's home,0,Somewhat,Yes,No,Yes,No,,,,0,No,,Yes,A few times a week,Once or twice,Once a day or more,A few times a week,Never,Yes,.,Rarely,Sometimes,Very happy,Agree,Strongly disagree,Rarely,None,A little,None,Very good,,No debt,19,19.1955471,No school or work but looking
2041,Male,"No, not in school",11th grade,Another person's home,0,Somewhat,No,Yes,No,Yes,Christian or just Christian,A few times a year,Something else,45,Yes,One to two days a week,Yes,A few times a month,Once or twice,Once a day or more,Never,Once or twice,Yes,Very often,.,Fairly often,Very unhappy,Disagree,Agree,Sometimes,None,A little,A little,Fair,"$8,001 - $10,000",No debt,23,63.49296188,Employed
2044,Female,"No, not in school",One year of college,Your parent's home,0,Not very,No,No,No,No,,,Not religious,50,Yes,Three to five days a week,Yes,A few times a week,Three or four times,Once a day or more,Never,Never,Yes,Very often,Very often,.,Somewhat happy,Agree,Disagree,Usually,A lot,A little,A little,Fair,"$10,001 - 12,000",No debt,20,23.17016602,Employed
2064,Male,"Yes, enrolled in school",12th grade,Your parent's home,2,Somewhat,Yes,No,No,Yes,Non-denominational Protestant,A few times a year,,35,No,,Yes,A few times a week,Once or twice,Never,A few times a week,Once or twice,No,Very often,Rarely,Never,.,Agree,Disagree,Never,A lot,None,None,Very good,"$6,001 - $8,000",No debt,19,23.08594513,Employed and school
2078,Female,"No, not in school",12th grade,Another person's home,0,Very,Yes,Yes,Yes,Yes,Christian or just Christian,Many times a year,,40,Yes,Less than every few weeks,Yes,Never,,A few times a year,Never,Never,No,Fairly often,Rarely,Rarely,Somewhat happy,.,Disagree,Rarely,A lot,None,None,Very good,"$2,001 - $4,000",No debt,19,26.60575294,Employed
2086,Male,"No, not in school",Four years of college/grad school,"Group quarters, like a dorm, sorority, or fraternity house",0,Somewhat,Yes,No,Yes,Yes,Protestant,Once a week,,48,Yes,Every few weeks,Yes,About once a week,Never,A few times a year,Never,More than five times,Yes,Very often,Sometimes,Never,Somewhat happy,Agree,.,Rarely,A lot,None,None,Very good,"$18,001 - $20,000",No debt,22,33.22434235,Active armed forces
2095,Female,"No, not in school",10th grade,Your own place,5,Extremely important,Yes,Yes,Yes,No,,,,15,No,,Yes,A few times a week,Once or twice,Once a day or more,A few times a month,Never,No,Sometimes,Very often,Sometimes,Very happy,Agree,Agree,.,A lot,Some,Some,Fair,"$48,001 - $50,000",No debt,22,22.14033699,Employed
2112,Female,"No, not in school",Three years of vocational/technical school,Your own place,1,Somewhat,Yes,Yes,Yes,Yes,Baptist,A few times a year,,40,Yes,Every few weeks,Yes,A few times a month,Three or four times,Once a day or more,Never,Never,Yes,Very often,Sometimes,Never,Very happy,Strongly agree,Agree,Rarely,.,None,None,Very good,"$8,001 - $10,000","$2,801 - $3,000",21,24.26542282,Employed
2121,Female,"Yes, enrolled in school",Two years of college,Your own place,0,Extremely important,Yes,Yes,Yes,Yes,Latter-day Saint(s),More than once a week,,0,No,,Yes,Never,,Never,Never,Never,Yes,Very often,Rarely,Never,Somewhat happy,Strongly agree,Strongly disagree,Never,A lot,.,None,Very good,"$8,001 - $10,000",$201 - $400,22,24.95858002,In school only
2122,Male,"Yes, enrolled in school",One year of college,Your parent's home,0,Not important at all,No,No,No,No,,,Not religious,0,No,,No,About once a week,Five or more times,Never,A few times a year,Once or twice,Yes,Very often,Never,Sometimes,Very happy,Agree,Disagree,Sometimes,A lot,A little,.,Very good,"$6,001 - $8,000",No debt,22,23.74554253,In school only
2124,Female,"Yes, enrolled in school",One year of vocational/technical school,Your own place,0,Very,Yes,No,Yes,Yes,Catholic,Once a month,,20,Yes,About once a day,Yes,About once a month,Never,Never,Never,Never,No,Very often,Sometimes,Never,Very happy,Strongly agree,Disagree,Rarely,A lot,None,None,.,"$14,001 - $16,000",$601 - $800,19,19.13491058,Employed and school
2125,Female,"Yes, enrolled in school",Two years of college,Your own place,1,Somewhat,No,No,No,Yes,Pentecostal,Once a month,,0,Yes,About once a day,Yes,About once a month,Never,Never,Never,Never,No,Sometimes,Sometimes,Never,Somewhat unhappy,Agree,Disagree,Sometimes,A lot,A little,A little,Good,.,No debt,21,23.02595139,In school only
2129,Female,"Yes, enrolled in school",Three years of college,Your own place,0,Not very,No,No,No,No,,,Not religious,0,No,,Unsure/Don't know,A few times a month,Never,Never,Never,Never,No,Very often,Never,Never,Very happy,Agree,Strongly disagree,Rarely,A lot,None,None,Very good,"$4,001 - $6,000",.,21,18.87939453,In school only
2137,Female,"Yes, enrolled in school",12th grade,Your parent's home,4,Not important at all,No,Yes,No,No,,,Something else,40,Yes,One to two days a week,Yes,Never,,Never,Never,More than five times,Yes,Very often,Never,Never,Somewhat unhappy,Disagree,Disagree,Sometimes,A lot,None,None,Excellent,"$12,001 - $14,000",No debt,.,21.78718948,Employed and school
2156,Female,"No, not in school",10th grade,Your own place,1,Somewhat,No,Yes,No,Yes,Lutheran,Once a month,,0,No,,Unsure/Don't know,About once a month,Never,Once a day or more,Never,Never,Yes,Fairly often,Rarely,Never,Somewhat happy,Agree,Disagree,Rarely,A lot,A little,None,Good,"$6,001 - $8,000","$10,001 or more",22,.,Out of labor force
2183,Female,"Yes, enrolled in school",One year of college,"Group quarters, like a dorm, sorority, or fraternity house",0,Very,Yes,Yes,Yes,Yes,Presbyterian,2-3 times a month,,8,Yes,About once a day,Yes,A few times a year,Never,About once a month,Never,Never,Yes,Fairly often,Very often,Rarely,Very unhappy,Disagree,Agree,Rarely,A little,None,None,Excellent,"$2,000 or Less",No debt,19,24.24632645,.
2205,Male,"Yes, enrolled in school",Three years of college,Your own place,1,Somewhat,No,No,Yes,Yes,Roman Catholic,Many times a year,,0,Yes,About once a day,Yes,A few times a week,Three or four times,Never,A few times a week,Once or twice,No,Very often,Sometimes,Never,Very happy,Strongly agree,Disagree,Rarely,A lot,None,None,Very good,"$8,001 - $10,000",No debt,21,24.34210587,In school only
2208,Female,"Yes, enrolled in school",Two years of college,Your parent's home,1,Somewhat,Yes,Yes,No,Yes,Christian or just Christian,A few times a year,Agnostic,15,Yes,About once a day,Yes,About once a month,Never,Never,Never,Never,No,Very often,Rarely,Rarely,Somewhat unhappy,Agree,Disagree,Rarely,Some,None,A little,Good,"$18,001 - $20,000",$200 or less,22,26.5577774,Employed and school
2216,Male,"No, not in school",12th grade,Your parent's home,4,Not very,Yes,Yes,Yes,No,,,,40,Yes,Three to five days a week,Yes,A few times a year,Never,Once a day or more,Never,Once or twice,No,Very often,Rarely,Sometimes,Somewhat happy,Disagree,Disagree,Sometimes,A lot,A lot,None,Fair,"$18,001 - $20,000",$201 - $400,18,20.08571434,Employed
2217,Male,"No, not in school",11th grade,Your parent's home,3,Somewhat,No,No,No,No,,,,50,Yes,Three to five days a week,Yes,A few times a year,Never,Never,Never,Never,No,Very often,Fairly often,Never,Somewhat unhappy,Agree,Disagree,Sometimes,A lot,Some,None,Very good,"$2,000 or Less",$401 - $600,22,23.7139492,Employed
2219,Female,"No, not in school",Three years of college,Your parent's home,0,Somewhat,Yes,No,No,Yes,Methodist,A few times a year,Something else,30,Yes,One to two days a week,Yes,About once a week,Five or more times,A few times a week,Never,Three to five times,Yes,Sometimes,Sometimes,Sometimes,Somewhat unhappy,Agree,Agree,Usually,Some,A lot,A little,Very good,"$2,000 or Less",No debt,21,29.11834335,Employed
2224,Female,"No, not in school",Two years of college,Your own place,4,Extremely important,Yes,Yes,No,Yes,Baptist,2-3 times a month,,25,Yes,Three to five days a week,Yes,A few times a month,Once or twice,A few times a year,A few times a year,Once or twice,Yes,Fairly often,Very often,Very often,Somewhat happy,Disagree,Strongly agree,Usually,A lot,Some,None,Fair,"$2,001 - $4,000",No debt,22,46.98151016,Employed
2251,Female,"Yes, enrolled in school",12th grade,"Group quarters, like a dorm, sorority, or fraternity house",1,Somewhat,Yes,No,Yes,Yes,Jewish,A few times a year,,6,Yes,Several times a day,Yes,A few times a week,Three or four times,Never,Never,Never,Yes,Fairly often,Sometimes,Rarely,Very happy,Strongly agree,Agree,Rarely,A lot,A little,A little,Excellent,"$2,001 - $4,000",No debt,19,24.02832031,Employed and school
2266,Female,"Yes, enrolled in school",Two years of college,Another person's home,1,Somewhat,No,Yes,No,No,,,,0,Yes,Every few weeks,Yes,A few times a week,Never,Never,Never,Never,Yes,Sometimes,Sometimes,Sometimes,Somewhat happy,Agree,Agree,Sometimes,Some,Some,A little,Very good,"$2,000 or Less","$801 - $1,000",22,31.56326485,In school only
2272,Male,"Yes, enrolled in school",12th grade,Your parent's home,1,Very,Yes,Yes,Yes,Yes,Non-denominational Protestant,2-3 times a month,,40,Yes,One to two days a week,Yes,About once a week,Once or twice,A few times a week,A few times a month,Once or twice,Yes,Very often,Very often,Never,Somewhat happy,Agree,Strongly disagree,Rarely,A lot,A little,None,Excellent,"$28,001 - $30,000",No debt,19,24.40514183,Employed and school
2277,Female,"No, not in school",One year of vocational/technical school,Your own place,1,Very,Yes,Yes,Yes,Yes,Church of Christ (Churches of Christ),,,0,Yes,About once a day,Yes,A few times a month,Once or twice,Never,Never,Never,Yes,Fairly often,Rarely,Never,Somewhat happy,Strongly agree,Disagree,Rarely,Some,None,None,Very good,"$14,001 - $16,000","$1,401 - $1,600",19,27.4323616,No school or work but looking
2298,Female,"Yes, enrolled in school",12th grade,Another person's home,0,Very,Yes,Yes,Yes,Yes,Church of God,More than once a week,,25,Yes,About once a day,Yes,A few times a year,Never,Never,Never,Never,Yes,Very often,Fairly often,Never,Somewhat happy,Strongly agree,Disagree,Rarely,A lot,None,None,Good,"$4,001 - $6,000",No debt,18,19.76427269,Employed and school
2304,Female,"Yes, enrolled in school",12th grade,"Group quarters, like a dorm, sorority, or fraternity house",1,Extremely important,Yes,Yes,Yes,Yes,Methodist,Many times a year,,0,No,,Yes,A few times a year,Never,Never,Never,Never,Yes,Very often,Fairly often,Rarely,Very happy,Agree,Strongly disagree,Sometimes,A lot,A little,Some,Fair,No income,No debt,19,21.2547245,In school only
2312,Female,"Yes, enrolled in school",Two years of college,Your parent's home,1,Extremely important,No,Yes,Yes,Yes,Church of God,Once a week,,20,No,,Yes,Never,,Never,Never,Never,No,Never,Sometimes,Never,Very happy,Disagree,Disagree,Sometimes,A lot,None,None,Very good,,No debt,20,21.94589043,Employed and school
2318,Female,"No, not in school",One year of college,Your own place,0,Somewhat,No,No,No,No,,,,0,Yes,Less than every few weeks,Unsure/Don't know,A few times a week,Three or four times,Never,Never,Never,No,Very often,Rarely,Rarely,Somewhat happy,Agree,Disagree,Rarely,A lot,A little,None,Very good,No income,"$5,801 - $6,000",20,23.77471352,Out of labor force
2329,Female,"Yes, enrolled in school",Two years of college,Your own place,1,Extremely important,Yes,No,No,No,,,,25,Yes,One to two days a week,Yes,About once a month,Never,Never,A few times a year,Never,Yes,Very often,Sometimes,Rarely,Somewhat unhappy,Disagree,Agree,Sometimes,Some,Some,A little,Good,"$6,001 - $8,000","$801 - $1,000",21,36.60591888,Employed and school
2337,Female,"No, not in school",12th grade,Your own place,1,Very,No,No,No,Yes,Presbyterian,Many times a year,,40,Yes,Every few weeks,Yes,A few times a week,Once or twice,Once a day or more,A few times a month,Never,No,Fairly often,Rarely,Never,Somewhat happy,Agree,Disagree,Rarely,A lot,None,None,Very good,"$28,001 - $30,000",$200 or less,23,22.59412384,Employed
2341,Male,"Yes, enrolled in school",One year of vocational/technical school,Your own place,1,Very,Yes,Yes,Yes,Yes,Lutheran,A few times a year,,30,Yes,About once a day,Yes,About once a week,Once or twice,A few times a week,A few times a week,Once or twice,No,Very often,Sometimes,Sometimes,Somewhat happy,Agree,Disagree,Sometimes,A lot,A little,None,Very good,"$18,001 - $20,000","$3,801 - $4,000",20,23.67244911,Employed and school
2344,Female,"No, not in school",One year of college,Your own place,5,Very,Yes,Yes,Yes,No,,,,36,Yes,Three to five days a week,Yes,A few times a week,Once or twice,Never,Never,Never,Yes,Very often,Sometimes,Never,Somewhat happy,Strongly agree,Disagree,Rarely,Some,None,None,Very good,"$10,001 - 12,000",$200 or less,20,23.02595139,Employed
2350,Female,"No, not in school",Two years of college,Your own place,1,Somewhat,Yes,Yes,No,Yes,Methodist,Once a week,,38,Yes,About once a day,Yes,A few times a month,Never,Never,Never,Never,No,Fairly often,Sometimes,Never,Somewhat happy,Agree,Disagree,Rarely,A lot,None,None,Very good,"$14,001 - $16,000","$4,801 - $5,000",20,26.51795006,Employed
2361,Male,"No, not in school",Two years of college,Your parent's home,0,Very,Yes,Yes,No,Yes,Lutheran,2-3 times a month,,50,Yes,Three to five days a week,Yes,A few times a week,Once or twice,Never,A few times a month,Never,No,Sometimes,Sometimes,Rarely,Somewhat happy,Agree,Disagree,Rarely,Some,A little,A little,Very good,"$24,001 - $26,000","$7,801 - $8,000",23,37.29263306,Employed
2363,Male,"No, not in school",12th grade,Your parent's home,1,Not important at all,No,No,No,Yes,Lutheran,A few times a year,Not religious,60,No,,Unsure/Don't know,Never,,Never,Never,Never,Yes,Very often,Sometimes,Never,Somewhat happy,Disagree,Disagree,Rarely,A lot,None,None,Excellent,"$36,001 - $38,000","$6,801 - $7,000",20,27.36591721,Employed
2366,Female,"Yes, enrolled in school",Two years of college,Your own place,1,Not very,No,No,No,No,,,Not religious,30,Yes,Three to five days a week,Unsure/Don't know,About once a week,Three or four times,Never,Never,Never,No,Fairly often,Sometimes,Sometimes,Somewhat happy,Disagree,Disagree,Sometimes,Some,Some,A little,Excellent,"$10,001 - 12,000",No debt,20,19.36639214,Employed and school
2368,Female,"No, not in school",12th grade,Your parent's home,0,Very,No,No,Yes,Yes,Baptist,2-3 times a month,,50,Yes,About once a day,Yes,A few times a month,Once or twice,Once a day or more,Never,Never,No,Fairly often,Rarely,Rarely,Somewhat unhappy,Agree,Disagree,Sometimes,A lot,A little,None,Very good,"$8,001 - $10,000",$401 - $600,21,25.68279076,Employed
2369,Female,"No, not in school",12th grade,Your parent's home,0,Extremely important,Yes,Yes,Yes,Yes,Pentecostal,More than once a week,,20,Yes,Every few weeks,Yes,Never,,Never,Never,Never,No,Fairly often,Sometimes,Sometimes,Neither,Agree,Strongly disagree,Sometimes,A lot,None,A little,Good,"$8,001 - $10,000",No debt,22,38.40530777,Employed
2373,Female,"No, not in school",Two years of college,Your own place,2,Somewhat,No,No,No,No,,,,40,Yes,Every few weeks,Yes,A few times a month,Once or twice,Never,Never,Never,Yes,Very often,Sometimes,Never,Somewhat happy,Agree,Disagree,Sometimes,A lot,A little,A little,Fair,"$28,001 - $30,000","$801 - $1,000",20,18.79260445,Employed
2375,Male,"No, not in school",11th grade,Your parent's home,1,Not very,No,Yes,No,No,,,,0,Yes,About once a day,Yes,A few times a year,Once or twice,Once a day or more,A few times a year,More than five times,No,Sometimes,Rarely,Sometimes,Somewhat happy,Agree,Agree,Rarely,A lot,None,A little,Good,No income,No debt,19,16.73477554,No school or work but looking
2385,Female,"No, not in school",11th grade,Your parent's home,0,Somewhat,No,No,No,No,,,,0,Yes,Several times a day,Yes,A few times a year,Never,Once a day or more,Never,Never,No,Sometimes,Rarely,Rarely,Somewhat happy,Agree,Disagree,Rarely,A lot,None,A little,Fair,"$2,000 or Less",No debt,19,25.60353851,Out of labor force
